,runNum,temp(K),surfOrient,Rs(ao),bubShape,lig(ao),maxPTime(ps),maxPress(bar),maxPHe,nv,reliefType
100_1500K_001_Rs2ao_sph_lig0.4ao,100,1500.0,001,2.0,sph,0.4,235.39625,116132.56143500001,76.57499999999999,68,burst
100_2000K_001_Rs4ao_sph_lig0.4ao,100,2000.0,001,4.0,sph,0.4,39.900749999999995,12433.244485499998,179.40000000000003,541,burst
100_2500K_001_Rs1ao_sph_lig0.4ao,100,2500.0,001,1.0,sph,0.4,13.56425,213150.59944499997,7.204999999999999,9,burst
101_1500K_001_Rs2ao_sph_lig0.4ao,101,1500.0,001,2.0,sph,0.4,209.20775,112533.43560000001,71.345,66,burst
101_2000K_001_Rs3ao_sph_lig0.4ao,101,2000.0,001,3.0,sph,0.4,135.74275000000003,23615.443445000008,106.64500000000007,224,burst
101_2500K_001_Rs1ao_sph_lig0.4ao,101,2500.0,001,1.0,sph,0.4,8.564250000000001,210502.87144500003,5.215000000000002,8,burst
102_1500K_001_Rs2ao_sph_lig0.4ao,102,1500.0,001,2.0,sph,0.4,171.33675,101937.865845,63.75000000000001,66,burst
102_2000K_001_Rs2ao_sph_lig0.4ao,102,2000.0,001,2.0,sph,0.4,141.13875000000002,92196.86620499998,55.724999999999966,68,burst
102_2000K_001_Rs3ao_sph_lig0.4ao,102,2000.0,001,3.0,sph,0.4,144.75225000000003,28755.559129999998,108.42500000000004,225,burst
102_2500K_001_Rs2ao_sph_lig0.4ao,102,2500.0,001,2.0,sph,0.4,143.76225000000002,105439.8452,54.24499999999999,68,burst
103_2000K_001_Rs1ao_sph_lig0.4ao,103,2000.0,001,1.0,sph,0.4,16.534750000000003,131229.774056,7.804999999999998,9,burst
103_2000K_001_Rs3ao_sph_lig0.4ao,103,2000.0,001,3.0,sph,0.4,192.97025000000002,29056.729235,119.03999999999996,228,burst
103_2000K_001_Rs4ao_sph_lig0.4ao,103,2000.0,001,4.0,sph,0.4,137.37625000000006,14758.2789305,198.83000000000004,541,burst
103_2500K_001_Rs2ao_sph_lig0.4ao,103,2500.0,001,2.0,sph,0.4,129.70275,116411.60736499997,50.445000000000014,65,burst
104_1500K_001_Rs2ao_sph_lig0.4ao,104,1500.0,001,2.0,sph,0.4,203.81175,133705.10890000002,70.26500000000004,68,burst
104_2000K_001_Rs1ao_sph_lig0.4ao,104,2000.0,001,1.0,sph,0.4,17.326749999999997,310668.24885000003,6.964999999999999,7,burst
105_1500K_001_Rs2ao_sph_lig0.4ao,105,1500.0,001,2.0,sph,0.4,172.02975,110054.10752999998,63.90500000000002,68,burst
105_2500K_001_Rs1ao_sph_lig0.4ao,105,2500.0,001,1.0,sph,0.4,19.801750000000002,210250.6333,6.860000000000003,8,burst
106_1500K_001_Rs2ao_sph_lig0.4ao,106,1500.0,001,2.0,sph,0.4,313.76225,154207.50115000003,90.255,62,burst
106_2000K_001_Rs1ao_sph_lig0.4ao,106,2000.0,001,1.0,sph,0.4,14.00975,168715.35117850002,6.305000000000001,7,burst
106_2500K_001_Rs1ao_sph_lig0.4ao,106,2500.0,001,1.0,sph,0.4,15.891249999999998,227519.80646000002,5.675000000000002,6,burst
107_1500K_001_Rs2ao_sph_lig0.4ao,107,1500.0,001,2.0,sph,0.4,208.01975000000002,128383.85695000003,72.10499999999996,70,burst
107_2000K_001_Rs1ao_sph_lig0.4ao,107,2000.0,001,1.0,sph,0.4,11.831750000000003,176811.10754,5.630000000000004,7,burst
107_2000K_001_Rs2ao_sph_lig0.4ao,107,2000.0,001,2.0,sph,0.4,180.54475,126895.15239999999,62.605000000000004,65,burst
108_1500K_001_Rs2ao_sph_lig0.4ao,108,1500.0,001,2.0,sph,0.4,167.22775000000001,98254.05969499999,62.94499999999999,68,burst
108_2000K_001_Rs2ao_sph_lig0.4ao,108,2000.0,001,2.0,sph,0.4,118.86125000000001,82896.21313500001,51.27499999999998,68,burst
108_2500K_001_Rs2ao_sph_lig0.4ao,108,2500.0,001,2.0,sph,0.4,221.33675,144988.53089999998,67.76499999999999,62,burst
109_2000K_001_Rs1ao_sph_lig0.4ao,109,2000.0,001,1.0,sph,0.4,27.475250000000003,230884.64058500002,10.995000000000006,11,burst
109_2000K_001_Rs4ao_sph_lig0.4ao,109,2000.0,001,4.0,sph,0.4,97.67325,12516.998430999998,188.035,531,burst
109_2500K_001_Rs2ao_sph_lig0.4ao,109,2500.0,001,2.0,sph,0.4,157.42574999999997,123130.80233999998,56.98499999999999,68,burst
10_1500K_011_Rs4ao_sph_lig0.5ao,10,1500.0,011,4.0,sph,0.5,1632.27725,106965.93373,885.9549999999997,541,burst
10_500K_001_Rs3ao_sph_lig0.4ao,10,500.0,001,3.0,sph,0.4,418.91075,119417.63415000001,397.28499999999997,224,burst
110_1500K_001_Rs2ao_sph_lig0.4ao,110,1500.0,001,2.0,sph,0.4,304.50475,152978.60715,90.405,66,burst
110_2000K_001_Rs1ao_sph_lig0.4ao,110,2000.0,001,1.0,sph,0.4,28.910750000000004,348320.26274999994,10.285,8,burst
119_1500K_001_Rs2ao_sph_lig0.4ao,119,1500.0,001,2.0,sph,0.4,125.49525,140711.30949999997,80.59499999999997,62,burst
11_2000K_011_Rs3ao_sph_lig0.5ao,11,2000.0,011,3.0,sph,0.5,583.4652500000001,109323.19959499998,359.1950000000001,229,burst
11_2000K_011_Rs4ao_sph_lig0.5ao,11,2000.0,011,4.0,sph,0.5,1175.7427500000001,84431.61261499996,741.6450000000003,531,burst
11_2500K_011_Rs3ao_sph_lig0.5ao,11,2500.0,011,3.0,sph,0.5,379.8017500000001,94437.79135999999,300.465,228,burst
121_2500K_001_Rs2ao_sph_lig1ao,121,2500.0,001,2.0,sph,1.0,166.38625,112957.99302999998,57.745000000000005,64,burst
122_2500K_001_Rs2ao_sph_lig1ao,122,2500.0,001,2.0,sph,1.0,123.91075000000002,90428.85473,49.28500000000001,64,burst
123_2500K_001_Rs1ao_sph_lig1ao,123,2500.0,001,1.0,sph,1.0,26.831750000000003,304441.82535,9.864999999999998,9,burst
123_2500K_001_Rs2ao_sph_lig1ao,123,2500.0,001,2.0,sph,1.0,93.91075000000001,91032.53017000001,44.28500000000002,66,burst
125_1500K_001_Rs2ao_sph_lig0.4ao,125,1500.0,001,2.0,sph,0.4,146.58425,141473.13264999996,87.81499999999997,67,burst
125_2500K_001_Rs2ao_sph_lig1ao,125,2500.0,001,2.0,sph,1.0,135.04975,85244.79762499999,51.46000000000001,64,burst
126_2500K_001_Rs1ao_sph_lig1ao,126,2500.0,001,1.0,sph,1.0,14.801750000000002,173135.19219000003,7.284999999999997,10,burst
126_2500K_001_Rs2ao_sph_lig1ao,126,2500.0,001,2.0,sph,1.0,148.76225000000002,96143.73879000002,55.254999999999995,68,burst
127_2500K_001_Rs2ao_sph_lig1ao,127,2500.0,001,2.0,sph,1.0,96.68324999999999,95246.01836500001,45.67999999999999,69,burst
128_2500K_001_Rs1ao_sph_lig1ao,128,2500.0,001,1.0,sph,1.0,28.663250000000005,235624.06895,9.235000000000005,7,burst
128_2500K_001_Rs2ao_sph_lig1ao,128,2500.0,001,2.0,sph,1.0,128.06924999999998,103628.697325,51.114999999999974,66,burst
128_2500K_001_Rs3ao_sph_lig1ao,128,2500.0,001,3.0,sph,1.0,205.0,30540.403655000002,113.79500000000003,222,burst
12_2500K_011_Rs3ao_sph_lig0.5ao,12,2500.0,011,3.0,sph,0.5,179.45525,86199.32490000002,258.3949999999999,225,burst
130_2500K_001_Rs2ao_sph_lig1ao,130,2500.0,001,2.0,sph,1.0,94.85125000000001,85461.95824,43.300000000000026,63,burst
131_2500K_001_Rs2ao_sph_lig1ao,131,2500.0,001,2.0,sph,1.0,155.69325,116645.69567999999,55.63499999999996,65,burst
132_2500K_001_Rs3ao_sph_lig0.4ao,132,2500.0,001,3.0,sph,0.4,481.2872500000001,46419.27996,133.7550000000001,225,burst
133_2500K_001_Rs3ao_sph_lig0.4ao,133,2500.0,001,3.0,sph,0.4,538.26725,54966.376350000006,145.15499999999992,227,burst
134_2500K_001_Rs3ao_sph_lig0.4ao,134,2500.0,001,3.0,sph,0.4,147.27725000000004,6395.304073134999,65.89999999999999,224,burst
135_2500K_001_Rs1ao_sph_lig1ao,135,2500.0,001,1.0,sph,1.0,24.603749999999998,150305.42919500006,8.425,8,burst
135_2500K_001_Rs2ao_sph_lig1ao,135,2500.0,001,2.0,sph,1.0,190.89125,142750.87374999997,62.675,64,burst
136_2500K_001_Rs1ao_sph_lig1ao,136,2500.0,001,1.0,sph,1.0,26.43575,202264.29034349995,8.785000000000004,7,burst
136_2500K_001_Rs2ao_sph_lig1ao,136,2500.0,001,2.0,sph,1.0,164.70274999999998,131276.06732,57.38999999999997,65,burst
136_2500K_001_Rs3ao_sph_lig0.4ao,136,2500.0,001,3.0,sph,0.4,526.7327499999999,47097.80164000002,142.84499999999997,226,burst
137_2500K_001_Rs1ao_sph_lig1ao,137,2500.0,001,1.0,sph,1.0,49.50475,265103.36079999997,14.404999999999992,9,burst
137_2500K_001_Rs2ao_sph_lig1ao,137,2500.0,001,2.0,sph,1.0,221.98024999999998,133066.777885,69.89500000000004,68,burst
13_2500K_011_Rs4ao_sph_lig0.5ao,13,2500.0,011,4.0,sph,0.5,569.3067500000002,69161.48206499999,584.3649999999997,532,burst
13_500K_001_Rs3ao_sph_lig0.4ao,13,500.0,001,3.0,sph,0.4,430.29725000000013,121635.17384999999,403.55499999999984,227,burst
143_2500K_001_Rs4ao_sph_lig0.4ao,143,2500.0,001,4.0,sph,0.4,506.23775000000006,13022.7675835,180.74499999999995,540,burst
145_2500K_001_Rs3ao_sph_lig0.4ao,145,2500.0,001,3.0,sph,0.4,358.51475000000005,31036.433770000003,108.20500000000001,224,burst
145_2500K_001_Rs3ao_sph_lig1ao,145,2500.0,001,3.0,sph,1.0,282.47525,19217.538422000005,93.99499999999995,227,burst
148_2500K_001_Rs3ao_sph_lig0.4ao,148,2500.0,001,3.0,sph,0.4,397.22774999999996,32077.91722,116.94500000000002,226,burst
153_2500K_001_Rs3ao_sph_lig1ao,153,2500.0,001,3.0,sph,1.0,352.07925,30716.660454000004,106.60000000000004,224,burst
1_1000K_001_Rs1ao_sph_lig10ao,1,1000.0,001,1.0,sph,10.0,145.64374999999995,698721.60555,60.62500000000003,11,loopPunch
1_1000K_001_Rs1ao_sph_lig11ao,1,1000.0,001,1.0,sph,11.0,125.14875,764738.57695,51.52499999999998,9,loopPunch
1_1000K_001_Rs1ao_sph_lig12ao,1,1000.0,001,1.0,sph,12.0,96.83175000000001,809020.82315,40.86500000000001,7,loopPunch
1_1000K_001_Rs1ao_sph_lig13ao,1,1000.0,001,1.0,sph,13.0,91.98025000000001,761216.5813499999,44.89499999999998,9,loopPunch
1_1000K_001_Rs1ao_sph_lig14ao,1,1000.0,001,1.0,sph,14.0,95.44574999999999,779443.4464499999,43.585000000000015,8,loopPunch
1_1000K_001_Rs1ao_sph_lig15ao,1,1000.0,001,1.0,sph,15.0,74.45525,789706.0706499999,39.395000000000024,8,loopPunch
1_1000K_001_Rs1ao_sph_lig16ao,1,1000.0,001,1.0,sph,16.0,152.62375,715308.3645499998,62.024999999999984,11,loopPunch
1_1000K_001_Rs1ao_sph_lig17ao,1,1000.0,001,1.0,sph,17.0,49.90075,830575.3714499999,31.484999999999996,7,bottomPunch
1_1000K_001_Rs1ao_sph_lig18ao,1,1000.0,001,1.0,sph,18.0,83.51475,766695.03265,43.205000000000005,9,loopPunch
1_1000K_001_Rs1ao_sph_lig19ao,1,1000.0,001,1.0,sph,19.0,99.85125,755497.58585,46.474999999999994,9,bottomPunch
1_1000K_001_Rs1ao_sph_lig1ao,1,1000.0,001,1.0,sph,1.0,37.128750000000004,466826.11285000003,24.92499999999999,10,burst
1_1000K_001_Rs1ao_sph_lig20ao,1,1000.0,001,1.0,sph,20.0,108.56424999999999,771125.74675,46.21499999999999,8,loopPunch
1_1000K_001_Rs1ao_sph_lig2ao,1,1000.0,001,1.0,sph,2.0,83.76225,664570.5406000001,34.25499999999998,10,loopPunch
1_1000K_001_Rs1ao_sph_lig3ao,1,1000.0,001,1.0,sph,3.0,110.64375,791167.5882000001,41.62500000000002,7,loopPunch
1_1000K_001_Rs1ao_sph_lig4ao,1,1000.0,001,1.0,sph,4.0,144.20774999999995,680427.75145,57.34499999999999,11,loopPunch
1_1000K_001_Rs1ao_sph_lig5ao,1,1000.0,001,1.0,sph,5.0,103.66325000000002,718349.1604500002,47.235000000000035,9,loopPunch
1_1000K_001_Rs1ao_sph_lig6ao,1,1000.0,001,1.0,sph,6.0,90.74275000000002,846050.4733,36.64499999999999,6,loopPunch
1_1000K_001_Rs1ao_sph_lig7ao,1,1000.0,001,1.0,sph,7.0,159.55425000000002,656795.2161999999,66.41499999999995,12,loopPunch
1_1000K_001_Rs1ao_sph_lig8ao,1,1000.0,001,1.0,sph,8.0,75.89124999999999,753482.3527500001,41.67500000000002,9,bottomPunch
1_1000K_001_Rs1ao_sph_lig9ao,1,1000.0,001,1.0,sph,9.0,120.24775,777035.6653999999,50.545,9,loopPunch
1_1000K_001_Rs2ao_sph_lig10ao,1,1000.0,001,2.0,sph,10.0,567.8217500000001,486021.25464999996,272.06500000000005,66,loopPunch
1_1000K_001_Rs2ao_sph_lig11ao,1,1000.0,001,2.0,sph,11.0,565.09925,468717.0922500001,275.515,68,bottomPunch
1_1000K_001_Rs2ao_sph_lig12ao,1,1000.0,001,2.0,sph,12.0,572.2277500000001,478929.63239999994,276.9449999999999,68,loopPunch
1_1000K_001_Rs2ao_sph_lig13ao,1,1000.0,001,2.0,sph,13.0,591.03975,493593.2292,276.7049999999998,66,loopPunch
1_1000K_001_Rs2ao_sph_lig14ao,1,1000.0,001,2.0,sph,14.0,549.95025,476406.43895,272.4950000000001,68,loopPunch
1_1000K_001_Rs2ao_sph_lig15ao,1,1000.0,001,2.0,sph,15.0,623.01975,497865.45710000006,281.1050000000002,65,bottomPunch
1_1000K_001_Rs2ao_sph_lig16ao,1,1000.0,001,2.0,sph,16.0,587.37625,485801.5351499999,271.9750000000001,64,bottomPunch
1_1000K_001_Rs2ao_sph_lig17ao,1,1000.0,001,2.0,sph,17.0,519.9007499999999,482762.2486,262.48499999999996,66,loopPunch
1_1000K_001_Rs2ao_sph_lig18ao,1,1000.0,001,2.0,sph,18.0,728.5147500000002,489307.4613,310.20500000000004,69,loopPunch
1_1000K_001_Rs2ao_sph_lig19ao,1,1000.0,001,2.0,sph,19.0,573.76225,499800.2275,264.2549999999999,62,bottomPunch
1_1000K_001_Rs2ao_sph_lig1ao,1,1000.0,001,2.0,sph,1.0,163.41575,225461.30229999995,129.18500000000006,67,burst
1_1000K_001_Rs2ao_sph_lig20ao,1,1000.0,001,2.0,sph,20.0,690.4457500000001,497987.66115,300.5849999999999,68,bottomPunch
1_1000K_001_Rs2ao_sph_lig2ao,1,1000.0,001,2.0,sph,2.0,545.5942500000001,351574.24665,209.61500000000007,70,burst
1_1000K_001_Rs2ao_sph_lig3ao,1,1000.0,001,2.0,sph,3.0,587.8217500000001,446767.86649999995,260.06500000000005,66,loopPunch
1_1000K_001_Rs2ao_sph_lig4ao,1,1000.0,001,2.0,sph,4.0,631.08925,461663.89219999994,270.71500000000015,67,loopPunch
1_1000K_001_Rs2ao_sph_lig5ao,1,1000.0,001,2.0,sph,5.0,585.4457500000001,471238.2573,275.58500000000004,66,loopPunch
1_1000K_001_Rs2ao_sph_lig6ao,1,1000.0,001,2.0,sph,6.0,600.4952500000002,461869.61624999996,284.59500000000014,69,bottomPunch
1_1000K_001_Rs2ao_sph_lig7ao,1,1000.0,001,2.0,sph,7.0,512.12875,468935.93195000006,264.9249999999999,68,loopPunch
1_1000K_001_Rs2ao_sph_lig8ao,1,1000.0,001,2.0,sph,8.0,542.67325,482305.13495000004,267.03499999999985,66,bottomPunch
1_1000K_001_Rs2ao_sph_lig9ao,1,1000.0,001,2.0,sph,9.0,546.1882499999999,463700.1064500001,273.735,69,bottomPunch
1_1000K_001_Rs3ao_sph_lig10ao,1,1000.0,001,3.0,sph,10.0,1614.30675,379080.3027,790.3650000000002,223,loopPunch
1_1000K_001_Rs3ao_sph_lig11ao,1,1000.0,001,3.0,sph,11.0,1726.78225,381299.7839000001,822.855,228,loopPunch
1_1000K_001_Rs3ao_sph_lig12ao,1,1000.0,001,3.0,sph,12.0,1652.0792500000002,377717.0076,803.9149999999998,226,loopPunch
1_1000K_001_Rs3ao_sph_lig13ao,1,1000.0,001,3.0,sph,13.0,1558.4157500000001,377185.8756,777.185,222,loopPunch
1_1000K_001_Rs3ao_sph_lig14ao,1,1000.0,001,3.0,sph,14.0,1656.83175,370928.56765000004,815.8650000000004,232,loopPunch
1_1000K_001_Rs3ao_sph_lig15ao,1,1000.0,001,3.0,sph,15.0,1575.84175,370613.4029,793.6650000000001,229,loopPunch
1_1000K_001_Rs3ao_sph_lig16ao,1,1000.0,001,3.0,sph,16.0,1705.4952500000002,380284.77075,812.5950000000004,225,loopPunch
1_1000K_001_Rs3ao_sph_lig17ao,1,1000.0,001,3.0,sph,17.0,1621.2872500000003,375996.49545000005,804.7549999999998,230,loopPunch
1_1000K_001_Rs3ao_sph_lig18ao,1,1000.0,001,3.0,sph,18.0,1568.56425,374209.24465,791.2150000000005,228,loopPunch
1_1000K_001_Rs3ao_sph_lig19ao,1,1000.0,001,3.0,sph,19.0,1660.5447499999998,384736.56805,797.6050000000001,222,bottomPunch
1_1000K_001_Rs3ao_sph_lig1ao,1,1000.0,001,3.0,sph,1.0,461.03975,119151.02019999997,380.70500000000015,230,burst
1_1000K_001_Rs3ao_sph_lig20ao,1,1000.0,001,3.0,sph,20.0,1558.4652500000002,376340.86420000007,781.1949999999996,224,bottomPunch
1_1000K_001_Rs3ao_sph_lig2ao,1,1000.0,001,3.0,sph,2.0,1396.3367500000002,228714.2796,566.7650000000004,229,burst
1_1000K_001_Rs3ao_sph_lig3ao,1,1000.0,001,3.0,sph,3.0,1181.93075,304517.25519999996,660.8849999999996,225,burst
1_1000K_001_Rs3ao_sph_lig4ao,1,1000.0,001,3.0,sph,4.0,1653.16825,345138.2479999999,760.1349999999996,228,loopPunch
1_1000K_001_Rs3ao_sph_lig5ao,1,1000.0,001,3.0,sph,5.0,1481.2377499999998,359236.0923,767.7450000000005,225,loopPunch
1_1000K_001_Rs3ao_sph_lig6ao,1,1000.0,001,3.0,sph,6.0,1584.1582500000002,365190.2414500001,788.3350000000004,225,loopPunch
1_1000K_001_Rs3ao_sph_lig7ao,1,1000.0,001,3.0,sph,7.0,1554.4057500000001,359484.23254999996,788.3850000000004,228,loopPunch
1_1000K_001_Rs3ao_sph_lig8ao,1,1000.0,001,3.0,sph,8.0,1606.1882499999997,372687.39879999997,796.735,227,loopPunch
1_1000K_001_Rs3ao_sph_lig9ao,1,1000.0,001,3.0,sph,9.0,1656.98025,376095.3426,808.8949999999996,228,loopPunch
1_1000K_001_Rs4ao_sph_lig10ao,1,1000.0,001,4.0,sph,10.0,3572.2277500000005,315271.50979999994,1724.945000000001,532,loopPunch
1_1000K_001_Rs4ao_sph_lig11ao,1,1000.0,001,4.0,sph,11.0,3557.92075,315333.0396999999,1729.0850000000012,536,loopPunch
1_1000K_001_Rs4ao_sph_lig12ao,1,1000.0,001,4.0,sph,12.0,3597.8712500000006,317389.97375000006,1737.0750000000003,536,bottomPunch
1_1000K_001_Rs4ao_sph_lig13ao,1,1000.0,001,4.0,sph,13.0,3615.09925,319673.93535,1748.5149999999996,541,loopPunch
1_1000K_001_Rs4ao_sph_lig14ao,1,1000.0,001,4.0,sph,14.0,3736.28725,323546.7975499999,1764.7549999999997,536,bottomPunch
1_1000K_001_Rs4ao_sph_lig15ao,1,1000.0,001,4.0,sph,15.0,3663.7622499999998,323549.54615,1740.2549999999994,530,bottomPunch
1_1000K_001_Rs4ao_sph_lig16ao,1,1000.0,001,4.0,sph,16.0,3416.68325,313854.54604999995,1698.835,535,bottomPunch
1_1000K_001_Rs4ao_sph_lig17ao,1,1000.0,001,4.0,sph,17.0,3711.7327499999997,322205.0953,1759.8450000000007,536,loopPunch
1_1000K_001_Rs4ao_sph_lig18ao,1,1000.0,001,4.0,sph,18.0,3765.4457500000003,324237.31425000005,1766.584999999999,534,loopPunch
1_1000K_001_Rs4ao_sph_lig19ao,1,1000.0,001,4.0,sph,19.0,3785.1487500000003,323752.60325000016,1780.525,540,bottomPunch
1_1000K_001_Rs4ao_sph_lig1ao,1,1000.0,001,4.0,sph,1.0,897.1287500000001,81415.10406,786.9250000000003,533,burst
1_1000K_001_Rs4ao_sph_lig20ao,1,1000.0,001,4.0,sph,20.0,3713.36625,324113.1965,1766.1749999999997,540,loopPunch
1_1000K_001_Rs4ao_sph_lig2ao,1,1000.0,001,4.0,sph,2.0,2690.7922499999995,168854.37039999999,1155.6550000000007,543,burst
1_1000K_001_Rs4ao_sph_lig3ao,1,1000.0,001,4.0,sph,3.0,2556.2872500000003,239584.88545000003,1431.7549999999997,539,burst
1_1000K_001_Rs4ao_sph_lig4ao,1,1000.0,001,4.0,sph,4.0,3566.5347500000003,283100.2513499999,1639.8049999999998,543,burst
1_1000K_001_Rs4ao_sph_lig5ao,1,1000.0,001,4.0,sph,5.0,3351.73275,300231.3033500001,1685.8449999999998,535,loopPunch
1_1000K_001_Rs4ao_sph_lig6ao,1,1000.0,001,4.0,sph,6.0,3392.42575,305718.13359999994,1703.985000000001,541,loopPunch
1_1000K_001_Rs4ao_sph_lig7ao,1,1000.0,001,4.0,sph,7.0,3455.8417499999996,306964.6849,1709.6650000000004,537,loopPunch
1_1000K_001_Rs4ao_sph_lig8ao,1,1000.0,001,4.0,sph,8.0,3647.4752500000004,312200.0989,1747.9949999999992,537,bottomPunch
1_1000K_001_Rs4ao_sph_lig9ao,1,1000.0,001,4.0,sph,9.0,3572.8217500000005,312319.6003,1738.0649999999991,540,loopPunch
1_1000K_011_Rs1ao_sph_lig0.5ao,1,1000.0,011,1.0,sph,0.5,11.782250000000001,371843.98765,21.85499999999999,11,burst
1_1000K_011_Rs1ao_sph_lig10ao,1,1000.0,011,1.0,sph,10.0,131.48524999999998,793997.40205,50.79499999999998,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig11ao,1,1000.0,011,1.0,sph,11.0,89.00975000000003,751993.6207999999,44.305000000000014,9,bottomPunch
1_1000K_011_Rs1ao_sph_lig12ao,1,1000.0,011,1.0,sph,12.0,137.47525,717141.3355,56.99499999999999,10,loopPunch
1_1000K_011_Rs1ao_sph_lig13ao,1,1000.0,011,1.0,sph,13.0,104.60374999999999,777488.4028500002,47.42500000000003,9,loopPunch
1_1000K_011_Rs1ao_sph_lig14ao,1,1000.0,011,1.0,sph,14.0,79.65325,803003.97345,40.43499999999999,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig15ao,1,1000.0,011,1.0,sph,15.0,115.19825,804654.25025,47.53500000000002,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig16ao,1,1000.0,011,1.0,sph,16.0,104.55425000000001,765433.7324500001,45.41499999999998,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig17ao,1,1000.0,011,1.0,sph,17.0,64.35625,770884.6497999997,37.374999999999986,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig18ao,1,1000.0,011,1.0,sph,18.0,130.59425,821190.7513499998,47.614999999999995,7,bottomPunch
1_1000K_011_Rs1ao_sph_lig19ao,1,1000.0,011,1.0,sph,19.0,143.16825000000003,744784.5648500001,58.13500000000001,10,bottomPunch
1_1000K_011_Rs1ao_sph_lig1ao,1,1000.0,011,1.0,sph,1.0,62.02975,717056.3572500001,24.904999999999987,7,loopPunch
1_1000K_011_Rs1ao_sph_lig20ao,1,1000.0,011,1.0,sph,20.0,51.33675,903192.8378500001,28.76499999999999,6,bottomPunch
1_1000K_011_Rs1ao_sph_lig2ao,1,1000.0,011,1.0,sph,2.0,93.61375000000001,699938.9303499999,35.224999999999994,9,loopPunch
1_1000K_011_Rs1ao_sph_lig3ao,1,1000.0,011,1.0,sph,3.0,85.19825000000002,724394.28825,41.53500000000001,9,loopPunch
1_1000K_011_Rs1ao_sph_lig4ao,1,1000.0,011,1.0,sph,4.0,119.45525,764000.9884500001,45.394999999999975,8,loopPunch
1_1000K_011_Rs1ao_sph_lig5ao,1,1000.0,011,1.0,sph,5.0,148.81175,769458.9468,54.26499999999998,8,loopPunch
1_1000K_011_Rs1ao_sph_lig6ao,1,1000.0,011,1.0,sph,6.0,74.30675000000001,774671.62185,39.36500000000002,8,loopPunch
1_1000K_011_Rs1ao_sph_lig7ao,1,1000.0,011,1.0,sph,7.0,159.85125000000002,728967.78135,61.475000000000016,10,loopPunch
1_1000K_011_Rs1ao_sph_lig8ao,1,1000.0,011,1.0,sph,8.0,100.09925000000001,774804.9832000001,44.515000000000015,8,bottomPunch
1_1000K_011_Rs1ao_sph_lig9ao,1,1000.0,011,1.0,sph,9.0,92.87125,705850.189,45.074999999999974,9,loopPunch
1_1000K_011_Rs2ao_sph_lig0.5ao,1,1000.0,011,2.0,sph,0.5,168.26725,217900.0893,131.15499999999997,68,burst
1_1000K_011_Rs2ao_sph_lig10ao,1,1000.0,011,2.0,sph,10.0,570.09925,486959.5779999999,272.5150000000001,66,loopPunch
1_1000K_011_Rs2ao_sph_lig11ao,1,1000.0,011,2.0,sph,11.0,525.1487500000001,480886.72954999993,263.525,66,bottomPunch
1_1000K_011_Rs2ao_sph_lig12ao,1,1000.0,011,2.0,sph,12.0,562.6237500000001,488885.41644999996,271.0250000000001,66,bottomPunch
1_1000K_011_Rs2ao_sph_lig13ao,1,1000.0,011,2.0,sph,13.0,620.7427500000001,471759.8081,284.64500000000015,67,loopPunch
1_1000K_011_Rs2ao_sph_lig14ao,1,1000.0,011,2.0,sph,14.0,567.9207500000001,482772.26175000006,276.0849999999999,68,bottomPunch
1_1000K_011_Rs2ao_sph_lig15ao,1,1000.0,011,2.0,sph,15.0,581.2872500000001,460204.80580000015,284.7550000000001,71,loopPunch
1_1000K_011_Rs2ao_sph_lig16ao,1,1000.0,011,2.0,sph,16.0,508.66325000000006,471343.1503999999,264.2349999999999,68,loopPunch
1_1000K_011_Rs2ao_sph_lig17ao,1,1000.0,011,2.0,sph,17.0,545.0992499999999,483749.8959500001,269.5150000000001,67,loopPunch
1_1000K_011_Rs2ao_sph_lig18ao,1,1000.0,011,2.0,sph,18.0,537.0297499999999,481127.58504999994,269.9050000000001,68,bottomPunch
1_1000K_011_Rs2ao_sph_lig19ao,1,1000.0,011,2.0,sph,19.0,550.99025,481665.6848000001,270.69500000000016,67,bottomPunch
1_1000K_011_Rs2ao_sph_lig1ao,1,1000.0,011,2.0,sph,1.0,286.63374999999996,271719.46215,153.82500000000005,67,burst
1_1000K_011_Rs2ao_sph_lig20ao,1,1000.0,011,2.0,sph,20.0,519.4552499999999,477918.53950000013,266.3949999999999,68,bottomPunch
1_1000K_011_Rs2ao_sph_lig2ao,1,1000.0,011,2.0,sph,2.0,388.36625000000004,329178.76225,173.175,66,loopPunch
1_1000K_011_Rs2ao_sph_lig3ao,1,1000.0,011,2.0,sph,3.0,425.54475,405098.57475,233.60500000000008,69,loopPunch
1_1000K_011_Rs2ao_sph_lig4ao,1,1000.0,011,2.0,sph,4.0,562.6237500000001,452260.5977,261.02500000000003,69,loopPunch
1_1000K_011_Rs2ao_sph_lig5ao,1,1000.0,011,2.0,sph,5.0,510.49525000000006,465077.97654999996,268.59500000000025,70,loopPunch
1_1000K_011_Rs2ao_sph_lig6ao,1,1000.0,011,2.0,sph,6.0,631.4852500000002,476376.4720499999,294.79500000000013,71,loopPunch
